11,46.528,1,Yes,yes,Are there less roads than buildings?,1.54,2.15,1.54,1.87,2.07,1.86,7.02,8.17,7.01,50.1
question_id,latency_sec,correct,model_response,ground_truth,question_text,avg_cpu_gpu_cv_w,max_cpu_gpu_cv_w,integrated_cpu_gpu_cv_w,avg_vdd_soc_w,max_vdd_soc_w,integrated_vdd_soc_w,avg_vdd_in_w,max_vdd_in_w,integrated_vdd_in_w,max_gpu_temp_c
9,45.988,0,Yes,no,Are there more water areas than commercial buildings?,1.54,2.15,1.54,1.87,2.07,1.87,7.02,8.17,7.01,50.1
10,46.224,1,Yes,yes,Is there a road?,1.54,2.15,1.54,1.87,2.07,1.87,7.02,8.21,7.01,50.1
14,46.471,1,Yes,yes,Are there more buildings than roads?,1.54,2.15,1.54,1.87,2.07,1.87,7.02,8.21,7.01,50.0
4,47.700,1,Yes,yes,Is there a small water area?,1.54,2.15,1.54,1.86,2.07,1.86,7.01,8.17,7.01,50.1
7,46.559,1,Yes,yes,Is there a residential building?,1.54,2.15,1.54,1.87,2.07,1.86,7.02,8.13,7.01,50.0
12,48.157,1,Yes,yes,Is there a commercial building in the image?,1.56,2.62,1.55,1.87,2.19,1.86,7.04,8.92,7.03,50.2
6,47.448,1,Yes,yes,Is a building present?,1.56,2.62,1.55,1.87,2.19,1.87,7.05,8.92,7.04,50.1
1,47.312,1,Yes,yes,Is there a water area?,1.56,2.62,1.56,1.87,2.19,1.87,7.05,8.92,7.03,50.0
3,47.019,0,10,82,What is the number of commercial buildings in the image?,1.56,2.62,1.55,1.87,2.19,1.87,7.05,9.00,7.04,50.2
15,48.572,0,10,44,How many village greens are there?,1.56,2.62,1.56,1.87,2.19,1.87,7.05,8.96,7.04,50.0
0,49.351,0,Rural,urban,Is it a rural or an urban area,1.58,2.62,1.57,1.87,2.27,1.87,7.08,9.08,7.07,50.3
13,49.362,0,100,258,What is the amount of grass areas?,1.58,2.62,1.57,1.87,2.27,1.87,7.08,9.08,7.07,50.3
8,49.926,0,100,1064,What is the amount of roads in the image?,1.59,2.62,1.58,1.88,2.31,1.88,7.10,9.20,7.08,50.3
5,47.955,0,1000,5380,What is the amount of residential buildings?,1.59,2.62,1.59,1.88,2.31,1.88,7.11,9.20,7.10,50.3
2,48.503,0,1000,5524,What is the amount of buildings?,1.60,2.62,1.59,1.89,2.31,1.88,7.12,9.20,7.11,50.3
25,38.050,1,No,no,Is there a rectangular road?,1.73,2.15,1.72,1.92,2.07,1.92,7.31,8.08,7.31,50.8
21,37.208,1,Yes,yes,Is a large commercial building present in the image?,1.73,2.15,1.73,1.93,2.11,1.92,7.33,8.08,7.32,50.8
23,36.473,1,No,no,Is the number of buildings equal to the number of water areas?,1.74,2.15,1.73,1.93,2.11,1.93,7.34,8.08,7.34,50.8
16,36.232,1,Yes,yes,Are there less grass areas than buildings?,1.74,2.15,1.73,1.93,2.11,1.93,7.34,8.20,7.34,50.8
27,38.997,1,No,no,Is the number of residential buildings equal to the number of medium roads?,1.72,2.15,1.72,1.92,2.07,1.92,7.30,8.08,7.29,51.0
20,38.985,1,Yes,yes,Is there a village green?,1.72,2.15,1.72,1.92,2.11,1.92,7.30,8.08,7.29,50.8
22,39.201,0,1,42,What is the number of water areas?,1.71,2.15,1.71,1.91,2.07,1.91,7.28,8.08,7.28,50.9
24,41.350,1,Yes,yes,Is there a small road?,1.71,2.15,1.70,1.91,2.11,1.91,7.27,8.24,7.27,50.8
30,38.281,1,Yes,yes,Is there a grass area?,1.72,2.15,1.72,1.92,2.11,1.92,7.31,8.20,7.30,50.9
18,38.330,1,Yes,yes,Is a circular grass area present in the image?,1.72,2.15,1.72,1.92,2.07,1.92,7.31,8.12,7.30,50.8
28,37.298,1,Yes,yes,Are there more roads than rectangular water areas?,1.74,2.34,1.73,1.93,2.15,1.93,7.34,8.64,7.34,50.9
29,42.318,0,10,2,How many circular residential buildings are there?,1.71,2.34,1.70,1.91,2.15,1.91,7.29,8.68,7.27,50.9
19,40.794,0,10,27,What is the amount of pitchs?,1.72,2.34,1.71,1.91,2.15,1.91,7.30,8.68,7.29,50.9
26,39.190,0,100,1064,How many small roads are there?,1.74,2.62,1.74,1.93,2.27,1.93,7.36,9.28,7.34,50.8
17,39.309,0,100,19,How many medium residential buildings are there?,1.74,2.62,1.74,1.93,2.27,1.93,7.35,9.28,7.34,51.0
31,42.777,0,1000,117,What is the amount of forests?,1.73,2.62,1.72,1.92,2.31,1.91,7.32,9.28,7.31,51.0
41,38.529,0,Yes,no,Are there more commercial buildings than roads?,1.72,2.15,1.72,1.93,2.07,1.93,7.32,8.12,7.31,51.3
45,39.898,1,Yes,yes,Are there more commercial buildings than residential areas?,1.71,2.15,1.71,1.92,2.11,1.92,7.30,8.12,7.29,51.3
38,38.023,0,No,yes,Is there a circular parking?,1.73,2.15,1.73,1.93,2.11,1.93,7.34,8.08,7.32,51.3
46,37.930,0,Yes,no,Are there more commercial buildings than forests in the image?,1.73,2.15,1.73,1.93,2.11,1.93,7.33,8.08,7.32,51.3
35,39.744,0,Yes,no,Are there less buildings than grass areas in the image?,1.72,2.15,1.71,1.92,2.11,1.92,7.31,8.08,7.30,51.3
